SpaceID,EventTime_UTC,OccupancyState
LT490,07/23/2019 05:20:40 PM,OCCUPIED
SV382,07/23/2019 05:20:39 PM,OCCUPIED
61456,07/23/2019 05:20:39 PM,VACANT
HO267A,07/23/2019 05:20:39 PM,OCCUPIED
ED520F,07/23/2019 05:20:37 PM,VACANT
SV631,07/23/2019 05:20:37 PM,VACANT
HO497,07/23/2019 05:20:36 PM,OCCUPIED
CB1376,07/23/2019 05:20:34 PM,VACANT
HO462,07/23/2019 05:20:33 PM,OCCUPIED
SV301,07/23/2019 05:20:33 PM,VACANT
HO75A,07/23/2019 05:20:33 PM,OCCUPIED
CB4226,07/23/2019 05:20:33 PM,VACANT
CB844,07/23/2019 05:20:32 PM,VACANT
LT232,07/23/2019 05:20:30 PM,VACANT
CC1307,07/23/2019 05:20:30 PM,VACANT
CB3583,07/23/2019 05:20:30 PM,VACANT
LZ124,07/23/2019 05:20:29 PM,OCCUPIED
ED624,07/23/2019 05:20:29 PM,VACANT
LT350,07/23/2019 05:20:28 PM,VACANT
CB3699,07/23/2019 05:20:27 PM,VACANT
CB1053,07/23/2019 05:20:27 PM,OCCUPIED
CB3715,07/23/2019 05:20:27 PM,VACANT
CT252,07/23/2019 05:20:27 PM,OCCUPIED
61443,07/23/2019 05:20:24 PM,VACANT
SV632,07/23/2019 05:20:24 PM,OCCUPIED
CB3698,07/23/2019 05:20:24 PM,OCCUPIED
HO34,07/23/2019 05:20:23 PM,OCCUPIED
ED203A,07/23/2019 05:20:23 PM,OCCUPIED
CB2419,07/23/2019 05:20:23 PM,OCCUPIED
CT392,07/23/2019 05:20:22 PM,OCCUPIED
CB2167,07/23/2019 05:20:21 PM,OCCUPIED
61245,07/23/2019 05:20:20 PM,VACANT
WV209,07/23/2019 05:20:20 PM,VACANT
CB2385,07/23/2019 05:20:20 PM,OCCUPIED
CC1576,07/23/2019 05:20:19 PM,OCCUPIED
66298,07/23/2019 05:20:17 PM,OCCUPIED
CB3253,07/23/2019 05:20:16 PM,VACANT
CT301,07/23/2019 05:20:15 PM,VACANT
ED363,07/23/2019 05:20:15 PM,VACANT
66405,07/23/2019 05:20:14 PM,OCCUPIED
CB2245,07/23/2019 05:20:14 PM,VACANT
ED215,07/23/2019 05:20:14 PM,VACANT
ED616,07/23/2019 05:20:14 PM,OCCUPIED
HO457,07/23/2019 05:20:14 PM,OCCUPIED
CC619,07/23/2019 05:20:13 PM,OCCUPIED
WV690,07/23/2019 05:20:12 PM,VACANT
66609,07/23/2019 05:20:12 PM,VACANT
CB1397A,07/23/2019 05:20:11 PM,VACANT
CT548,07/23/2019 05:20:11 PM,VACANT
CB2297,07/23/2019 05:20:11 PM,VACANT
CB3721,07/23/2019 05:20:11 PM,VACANT
61459,07/23/2019 05:20:11 PM,VACANT
66602,07/23/2019 05:20:10 PM,VACANT
CB2298,07/23/2019 05:20:08 PM,OCCUPIED
SV72A,07/23/2019 05:20:07 PM,OCCUPIED
CB4229,07/23/2019 05:20:07 PM,VACANT
66601,07/23/2019 05:20:05 PM,VACANT
HO114A,07/23/2019 05:20:05 PM,VACANT
SV113A,07/23/2019 05:20:04 PM,OCCUPIED
LT310A,07/23/2019 05:20:04 PM,OCCUPIED
HO598,07/23/2019 05:20:04 PM,OCCUPIED
